Rank,Municipality,Population,Population,Population,Population,Population,Province,Region
Rank,Municipality,1990,2000,2010,2015,2020,Province,Region
1.,Antwerp,"470,349","446,525","483,505","513,570","1,529,247",Antwerp,Flanders
2.,Ghent,"230,543","224,180","243,366","253,266","263,927",East Flanders,Flanders
3.,Charleroi,"206,779","200,827","202,598","202,480","202,746",Hainaut,Wallonia
4.,Liège,"196,825","185,639","192,504","195,968","197,217",Liège,Wallonia
5.,Brussels,"136,706","133,859","157,673","175,534","185,103",—,Brussels-Capital Region
6.,Schaerbeek,"104,768","105,692","121,232","131,030","132,799",—,Brussels-Capital Region
7.,Anderlecht,"89,231","87,812","104,647","116,332","120,887",—,Brussels-Capital Region
8.,Bruges,"117,460","116,246","116,741","117,886","118,656",West Flanders,Flanders
9.,Namur,"103,466","105,419","108,950","110,646","111,432",Namur,Wallonia
10.,Leuven,"85,193","88,014","95,463","98,376","102,275",Flemish Brabant,Flanders
11.,Sint-Jans-Molenbeek,"68,904","71,219","88,181","95,576","97,979",—,Brussels-Capital Region
12.,Mons,"91,867","90,935","91,759","95,231","95,887",Hainaut,Wallonia
13.,Ixelles,"73,128","73,174","80,183","84,754","87,632",—,Brussels-Capital Region
14.,Aalst,"76,245","76,313","80,043","83,709","87,332",East Flanders,Flanders
15.,Mechelen,"75,622","75,438","80,940","83,975","86,921",Antwerp,Flanders
16.,Uccle,"75,402","74,221","77,589","81,280","83,980",—,Brussels-Capital Region
17.,La Louvière,"76,138","76,568","78,071","80,375","81,138",Hainaut,Wallonia
18.,Hasselt,"66,094","68,085","73,067","76,331","78,714",Limburg,Flanders
19.,Sint-Niklaas,"67,979","68,290","71,806","74,289","78,531",East Flanders,Flanders
20.,Kortrijk,"76,081","74,790","74,911","75,219","77,109",West Flanders,Flanders
21.,Ostend,"68,527","67,279","69,064","70,460","71,647",West Flanders,Flanders
22.,Tournai,"67,767","67,379","69,043","69,756","69,083",Hainaut,Wallonia
23.,Genk,"61,343","62,842","64,757","65,463","66,447",Limburg,Flanders
24.,Seraing,"60,952","60,557","62,698","63,972","64,192",Liège,Wallonia
25.,Roeselare,"52,512","54,199","57,432","60,386","63,478",West Flanders,Flanders
26.,Mouscron,"53,545","52,492","54,651","57,068","58,767",Hainaut,Wallonia
27.,Woluwe-Saint-Lambert,"48,141","46,528","50,749","54,022","57,712",—,Brussels-Capital Region
28.,Forest,"47,178","45,555","50,258","55,012","56,581",—,Brussels-Capital Region
29.,Verviers,"53,657","53,148","55,253","55,356","55,290",Liège,Wallonia
30.,Jette,"38,769","39,749","46,818","50,724","52,728",—,Brussels-Capital Region
31.,Saint-Gilles,"43,579","42,458","46,981","50,472","49,678",—,Brussels-Capital Region
32.,Beveren,"42,163","44,977","46,299","47,423","49,047",East Flanders,Flanders
33.,Etterbeek,"39,641","39,404","44,352","46,773","48,473",—,Brussels-Capital Region
34.,Beringen,"36,289","39,261","42,758","44,885","46,598",Limburg,Flanders
35.,Dendermonde,"42,470","43,137","44,095","44,938","45,870",East Flanders,Flanders
36.,Vilvoorde,"32,942","34,982","39,628","42,418","45,495",Flemish Brabant,Flanders
37.,Turnhout,"37,669","38,596","40,763","42,637","45,280",Antwerp,Flanders
38.,Deinze,"36,242","38,552","41,083","42,419","43,580",East Flanders,Flanders
