number;contract_name;name;address;position;banking;bonus;bike_stands;available_bike_stands;available_bikes;status;last_update
231;bruxelles;231 - KERSBEEK;KERSBEEK - AV KERSBEEK 107 / KERSBEEKLAAN 107;{'lat': 50.805801, 'lng': 4.3194};False;False;19;10;9;OPEN;1647714679000
122;bruxelles;122 - GARE D'ETTERBEEK;GARE D'ETTERBEEK/STATION VAN ETTERBEEK - BOULEVARD GENERAL JACQUES/GENERAAL JACQUESLAAN;{'lat': 50.822207, 'lng': 4.389325};False;True;30;26;4;OPEN;1647714898000
1;bruxelles;001 - LEOPOLD II;LEOPOLD II - AVENUE DE TERVUREN FACE / TERVURENLAAN VOOR 218;{'lat': 50.836304, 'lng': 4.41505};False;True;20;19;1;OPEN;1647714976000
212;bruxelles;212 - THEO LAMBERT;THEO LAMBERT - BD THEO LAMBERT (FACE 60) / THEO LAMBERT LAAN (TEGENOVER 60);{'lat': 50.827106, 'lng': 4.2925};False;False;25;5;20;OPEN;1647714942000
333;bruxelles;333 - TRACTEBEL;TRACTEBEL - AV MARCEL THIRY FACE AU N°93;{'lat': 50.856582, 'lng': 4.430988};False;False;25;15;10;OPEN;1647714586000
184;bruxelles;184 - PHILIPPE BAUCQ;PHILIPPE BAUCQ - RUE PHILIPPE BAUCQ / PHILIPPE BAUCQSTRAAT 32 - 38;{'lat': 50.831592, 'lng': 4.3857859999999995};False;False;25;21;4;OPEN;1647714824000
360;bruxelles;360 - STOCKEL/STOKKEL;STOCKEL/STOKKEL - AVENUE D'OPHEMLAAN, 1-3;{'lat': 50.84157, 'lng': 4.46577};False;False;24;4;20;OPEN;1647714856000
186;bruxelles;186 - GENOT;GENOT - CHAUSSEE DE GAND DEVANT 1033;{'lat': 50.861783, 'lng': 4.302607};False;False;17;9;8;OPEN;1647714832000
167;bruxelles;167 - CHARLES V/KAREL V;CHARLES V/KAREL V - AVENUE CHARLES QUINT/KEIZER KARELLAAN 129-131;{'lat': 50.869032, 'lng': 4.309731};False;False;22;9;13;OPEN;1647714863000
305;bruxelles;305 - PETER BENOIT;PETER BENOIT - PLACE PETER BENOIT PLAATS 2-4;{'lat': 50.895592, 'lng': 4.387965};False;False;25;7;18;OPEN;1647714836000
50;bruxelles;050 - RIBAUCOURT;RIBAUCOURT - BLD LEOPOLD II / LEOPOLD II-LAAN 121-123;{'lat': 50.860862, 'lng': 4.339182};False;False;25;6;19;OPEN;1647714464000
93;bruxelles;093 - CLOVIS;CLOVIS - CHAUSSEE DE LOUVAIN - LEUVENSESTEENWEG 260-264;{'lat': 50.850333, 'lng': 4.380461};False;False;19;7;12;OPEN;1647714906000
274;bruxelles;274 - CORHAY;CORAY - CHEE DE GAND DEVANT 579-587 GENTSESTEENWEG VOOR 579-587;{'lat': 50.86002, 'lng': 4.307502};False;False;25;19;6;OPEN;1647714520000
98;bruxelles;098 - CIMETIERE/KERKHOF;CIMETIERE/KERKHOF - BLD METTEWIE/METTEWIELAAN 40 INTERSECTION CHAUSSÉE DE GAND/GENTSESTEENWEEG;{'lat': 50.85904, 'lng': 4.312402};False;False;20;10;10;OPEN;1647714717000
260;bruxelles;260 - TRITON;TRITON - AVENUE DES ANCIENS COMBATTANTS - PISCINE / OUD-STRIJDERSLAAN - ZWEMBAD;{'lat': 50.86702, 'lng': 4.406995};False;False;25;12;13;OPEN;1647714648000
38;bruxelles;038 - JEU DE BALLE / VOSSENPLEIN;JEU DE BALLE/VOSSENPLEIN - RUE BLAES/BLAESSTRAAT 135-141;{'lat': 50.837912, 'lng': 4.347421};False;False;19;0;19;OPEN;1647714726000
57;bruxelles;057 - MADOU/MADOU;MADOU - AVENUE DES ARTS/KUNSTLAAN 1-2;{'lat': 50.848712, 'lng': 4.369509};False;True;24;24;0;OPEN;1647714707000
351;bruxelles;351 - ULB;ULB - AV BUYL CROISEMENT AV DE L'UNIVERSITE (DEVANT L'ULB);{'lat': 50.813724, 'lng': 4.384205};False;True;25;25;0;OPEN;1647714715000
206;bruxelles;206 - SAINT-GUIDON / SINT GUIDO;SAINT GUIDON / SINT GUIDO - AV PAUL JANSON (FACE AU 34-28) / PAUL JANSONLAAN (TEGENOVER 34-28);{'lat': 50.834755, 'lng': 4.305962};False;False;25;20;5;OPEN;1647714887000
178;bruxelles;178 - DIAMANT/DIAMANT;DIAMANT/DIAMANT - RUE COLONEL BOURG EN FACE 3;{'lat': 50.85043, 'lng': 4.402169};False;False;22;5;17;OPEN;1647714963000
245;bruxelles;245 - HAMOIR;CHEE DE WATERLOO/WATERLOOSESTEENWEG 1050;{'lat': 50.798988, 'lng': 4.375581};False;False;25;9;16;OPEN;1647714658000
99;bruxelles;099 - JUBILE;JUBILE - BOULEVARD DU JUBILE/ JUBELFEESTLAAN 79;{'lat': 50.864992, 'lng': 4.338431};False;True;25;11;14;OPEN;1647715011000
358;bruxelles;358 - MADOUX;MADOUX - AVENUE DE TERVUREN FACE 403;{'lat': 50.82708, 'lng': 4.444795};False;False;25;16;9;OPEN;1647714787000
242;bruxelles;242 - MAISON COMMUNALE D'UCCLE/UKKEL GEMEENTEHUIS;MAISON COMMUNALE D'UCCLE/UKKEL GEMEENTEHUIS - PLACE JEAN VANDER ELST / JEAN VANDER ELST PLEIN;{'lat': 50.803791, 'lng': 4.333321};False;False;25;14;11;OPEN;1647714873000
200;bruxelles;200 - VETERANS COLONIAUX / KOLONIALE VETERANEN;VETERANS COLONIAUX / KOLONIALE VETERANEN - BD JULES GRAINDOR / JULES GRAINDORLAAN;{'lat': 50.843967, 'lng': 4.313537};False;True;25;7;18;OPEN;1647714911000
181;bruxelles;181 - LOUIS TITZ;LOUIS TITZ - AVENUE DE LA CHASSE/ JACHTLAAN 182 - 184;{'lat': 50.835723, 'lng': 4.394395};False;False;25;20;5;OPEN;1647714995000
