Village;Population;km2_size
Antwerpen;446525;204,51
Gent;224180;156,18
Charleroi;200827;102,08
Luik;185639;69,39
Brussel;133859;32,61
Schaarbeek;105692;8,14
Anderlecht;87812;17,74
Brugge;116264;138,40
Namen;105419;175,69
Leuven;88084;56,63
Sint-Jans-Molenbeek;71219;5,89
Bergen;90935;146,53
Aalst;84859;78,12
Elsene;73174;6,34
Mechelen;75438;65,19
Ukkel;74221;22,91
La Louvière;76568;64,24
Sint-Niklaas;68290;83,80
Hasselt;68058;102,24
Kortrijk;74790;80,02
Oostende;67279;37,72
Doornik;67379;213,75
Genk;62842;87,85
Seraing;60557;35,34
Roeselare;54199;59,79
Moeskroen;52492;40,08
Sint-Lambrechts-Woluwe;46528;7,22
Vorst;45555;6,25
Verviers;53148;33,07
Jette;39749;5,04
Sint-Gillis;42458;2,52
Beveren;44977;150,18
Etterbeek;39404;3,15
Beringen;39261;78,30
Dendermonde;43137;55,67
Turnhout;38596;56,06
Vilvoorde;34982;21,48
Deinze*;38552;127,43
Dilbeek;37722;41,18
Heist-op-den-Berg;37233;86,46
Evere;31348;5,02
Lokeren;36458;67,50
Sint-Pieters-Woluwe;37922;8,85
Geel;33677;109,85
Halle;33655;44,40
Sint-Truiden;37147;106,90
Herstal;36292;23,54
Eigenbrakel;35259;52,12
Ninove;34559;72,57
Maasmechelen;35430;76,28
Waregem;35839;44,34
Grimbergen;32930;38,61
Brasschaat;37138;38,49
Mol;31683;114,26
Lier;32191;49,70
Evergem;31155;75,04
Châtelet;35452;27,03
Tienen;31479;71,77
Zaventem;26901;27,62
Sint-Pieters-Leeuw;30013;40,38
Ieper;35071;130,61
Waver;31033;41,80
Oudergem;28804;9,03
Schoten;32733;29,55
Lommel;30433;102,37
Heusden-Zolder;30105;53,23
Geraardsbergen;30945;79,71
Asse;27931;49,64
Menen;32028;33,07
Binche;32190;60,66
Pelt*;27911;83,62
Knokke-Heist;33148;56,44
Bilzen;29355;75,90
Oudenaarde;27788;68,06
Wevelgem;31374;38,76
Tongeren;29723;87,56
Ottignies-Louvain-la-Neuve;27380;32,96
Courcelles;29706;44,24
Houthalen-Helchteren;29215;78,27
Aarlen;24791;118,64
Waterloo;28986;21,03
Temse;25533;39,91
Aarschot;27495;62,52
Brecht;25091;90,84
Aat;25430;126,95
Aalter*;26303;119,19
Nijvel;23751;60,60
Harelbeke;26320;29,14
Izegem;26532;25,48
Ans;27528;23,35
Sambreville;27197;34,20
Zinnik;24582;110,30
Herentals;25474;48,56
Andenne;23529;86,17
Tubeke;21461;32,66
Kapellen;25671;37,11
Sint-Joost-ten-Node;22097;1,14
Willebroek;22508;27,41
Zottegem;24574;56,66
Ronse;23849;34,48
Lievegem*;25509;80,17
Flémalle;25777;36,68
Gembloers;20484;95,86
Puurs-Sint-Amands*;23296;48,99
Wetteren;22795;36,68
Mortsel;25086;7,78
Lanaken;23500;59,00
Beersel;22880;30,01
Overijse;23738;44,43
Sint-Agatha-Berchem;18735;2,95
Maaseik;22852;76,91
Oupeye;23720;36,11
Westerlo;21960;55,13
Watermaal-Bosvoorde;24454;12,93
Ganshoren;19757;2,46
Hamme;22685;40,21
Zwevegem;23489;63,24
Merelbeke;21786;36,65
Diest;22132;58,20
Saint-Nicolas;23171;6,84
Maldegem;22036;94,64
Oostkamp;21218;79,65
Manage;21812;19,60
Oudsbergen*;21642;116,24
Saint-Ghislain;22096;70,18
Zemst;20553;42,83
Scherpenheuvel-Zichem;21720;50,50
Nijlen;20423;39,09
Fleurus;22380;59,28
Zedelgem;22020;60,34
Tervuren;20181;32,92
Grâce-Hollogne;22503;34,24
Balen;19290;72,88
Rixensart;21271;17,54
Lochristi;18907;60,34
